Store name, number of reviews, consumption, main cuisine, address, detail link, business hours,Taste,Environment,Service
Xige Zhanjiang Oyster Restaurant (Yanjiang Middle Road Branch),1391,128, Seafood, Yanjiang Road/Ersha Island, https://www.dianping.com/shop/G6gXAI2ZQBZi81B5, Monday to Sunday 17:30-02:00,7.9,7.1,7.3
Chai Na Thai CuisineThai Restaurant (Longzhu Branch),276,61, Thai cuisine, Huadu Square/District Government, https://www.dianping.com/shop/G6gy5rePMxJpXCjn, Monday to Sunday 11:30-14:0017:30-21:00,7.5,7.4,7.6
Xiangmitai Thai-Vietnamese Cuisine (Dashi Branch),755,117, Thai food, Dashi, https://www.dianping.com/shop/G6gZY6zbh1438947, Monday to Sunday 11:00 -14:0017:00-22:00,8.6,8.7,8.5
SUBWAY (Nonglinxia Road store),1098,29, fast food, Zhongshan Ersan Road/Dongshankou, https://www.dianping.com/shop/G6h0uT4gBpmJCokl, Monday to Sunday 09:30-22:00,8.2,8,8.1
Happywoods (Baifu Juhui Plaza Store),332,31, fast food, Teem City/Sports Center, https://www.dianping.com/shop/G6H10aH5qdiBYvlF, Monday to Sunday 07:30-20:30,8.5,8.3,8.8
JJ FrogGrilled FishBandit Cuisine (Xiongfeng City Store),232,59, Griddle/Fragrant Pot, Zhongcun, https://www.dianping.com/shop/G6hCUxGCSQT9htF4, Monday to Sunday 10:30-14:0016:30-03:30,7.3,7.4,7.4
Happy Point Feast (Jiahe Store),109,63, Cantonese style refreshments, Jiahe Wanggang, https://www.dianping.com/shop/G6HHfaRbj8qibPFh, Monday to Sunday 07: 00-14:0017:00-22:00,7.2,7.1,6.8
Taitai Tea Restaurant (Laifeng Center Store),934,47, Tea Restaurant, Dongfengdong/Yang Ji, https://www.dianping.com/shop/G6hhWc1b5LWGYzL1, Monday to Sunday 10:00-22:00,7.3,7.6,7.2
Happy Western Cake Birthday Cake (Yiyuan South Road Store),196,86, Bread Baking, Kecun/Chigang, https://www.dianping.com/shop/G6hoG0aeszIdLLOy, Monday to Sunday 09:00-23:00,7.6,7.7,7.8
YuezanVietnamese flavor,445,71, Vietnamese cuisine, Zhongshan Qiba Road, https://www.dianping.com/shop/G6HOUVqMdRaJdRky, Monday to Sunday 11:00 -14:0017:00-21:30,7.8,7.6,7.9
Shanjing Coffee,130,19, Cafe, West Village/Xichang, https://www.dianping.com/shop/G6HTjMG0zdXXBrEN, Monday to Sunday 08:00-23: 30,7.9,8.1,8
Drink more soupfreshly made barbecue (Yunmen),581,31, tea restaurant, Jiahe/Rhehe, https://www.dianping.com/shop/G6HvgeKI1OHrjTYO, Monday to Sunday 10:00-21:30,8.4,8.5,8.1
Luozetian snail noodles (Fangcun flagship store),55,12, porridge noodles, Fangcun, https://www.dianping.com/shop/G6HWChmqYKLRpCU1, Monday to Sunday 10 :00-22:00,7.2,7.4,7.5
Hi Tea (Shipai Bridge Store),5421,21, tea juice, Shipai/Longkou, https://www.dianping.com/shop/G6hWSL4Ng1gXDr5d, Monday to Thursday 09:30-22:30 Friday to Sunday 09:30-23:00,8.8,8.6,8.5
TanwoZhusheng Coconut Chicken (Junjing Branch),4234,94, Coconut Chicken Hot Pot, Tangxia, https://www.dianping.com/shop/G6i2f7LyY7f9XmVH, Monday to Sunday 11:00-23:00,9.1,9.1,9.1
Meidu Manor,14,76, Private Kitchen, Baishui Village/Paitan, https://www.dianping.com/shop/G6IaXN3V23Aps5XO, Monday to Sunday 09:30- 21:30,7.1,7,7
Flamingo (Zhujiang New Town Store),1892,117, Western food, Zhujiang New Town, https://www.dianping.com/shop/G6icZzLPCWlQt2tF, Monday to Sunday 11:30 -01:00,7.9,8.2,8.4
Chenjia Shengjian (Longgui Jinbo Plaza Store),60,29, fried/pot stickers, Jiahe/Hehe, https://www.dianping.com/shop/G6IeYkiHcDpmaIEx, Monday to Sunday 10:00-22:00,7.4,7.5,7.4
Meet Xiaomian (store inside the security checkpoint of Baiyun Airport T1),242,33, porridge noodles, Baiyun International Airport, https://www.dianping.com/shop/G6IfuHg0YQx881h2, Monday to Sunday 04:30-22:002023-09-29 to 2023-10-0304:30-00:30,8.4,8.2,8.1
Le Caesar Pizza (Zongheng Plaza Store),488,58, Western food, Kecun/Chigang, https://www.dianping.com/shop/G6IkKtapNuBK2kFj, Monday to Sunday 10 :00-22:00,8.8,8.3,8.7
Ma Tian HuiBullfrog Hot Pot has been focusing on 20 years (Zhujiang New Town Weijiasi Plaza Store),6916,99, Sichuan Hot Pot, Zhujiang New Town, https://www.dianping.com/shop/G6IUrFjStxZ1eVD2, Monday to Sunday 11:00-23:00,8.6,8.2,8.1
Qianxi YayanFine Cantonese Cuisine,99,256, private cuisine, Xingsheng Road/Lie De, https://www.dianping.com/shop/G6J07PILtMe02cNi, Monday to Sunday 11:30 -14:0017:00-22:00,7.5,7.7,7.6
Xuanmu's Craft Bistro Half Street,241,84, Tea Juice, Jiangnanxi, https://www.dianping.com/shop/G6j9ZaiiHqpAhWVO, Monday to Thursday Sunday 14:00-03:00 Friday and Saturday 14:00-03:30,8.2,8,8.1
Rudi Ice Cream Puffs (Tonghe Jinbo Store),162,13, Dessert, Tonghe/Jingxi, https://www.dianping.com/shop/G6JBFXPF1QRrv1GJ, Monday to Sunday 10:00-22:30,8.1,8.2,8.3
YuemingxuanCantonese-style refreshments (Rhehe store),1043,73, Cantonese-style refreshments, Jiahe/Rhehe, https://www.dianping.com/shop/G6jEO4AstmSsbHS2, Monday to Sunday 07:30-24:00,7.8,7.8,7.5
Yue Xing  Super BIG Seafood Food Stall (Lide Branch),1064,193, Seafood, Xingsheng Road/Lide, https://www.dianping.com/shop/G6JgeUqUfWs9wzoo, Monday to Sunday 17:00-01:30,8.9,8.4,8.4
Those who wish to take the bait (Highland Street Store),389,48, Grilled Fish, Chepi/Dongpu, https://www.dianping.com/shop/G6JGWlFyqLns7R3u, Monday to Sunday 17:00-01:30,7.5,7.5,7.6
Looking for XiangcunXiangfu Family Banquet (Tianmei Branch),242,72, Hunan Cuisine, Huadu Stadium/Huaguoshan Park, https://www.dianping.com/shop/G6JmpEoct4gxbPMy, Monday to Sunday 11:00-14:0017:00-21:00,9,9,9
Huiyi Northeast Seafood Handmade Dumplings,9,12, dumplings, Chi Ni, https://www.dianping.com/shop/G6jMVfeF7QLPydOg, Monday to Sunday 10:00-23: 00,7.1,7.1,7.3
Qiaoxue Beef Offal Specialty Store (Guanbian Road Store),498,39, Beef offal, Shiqiao, https://www.dianping.com/shop/G6jR3YSgLNocodje, Monday to Sunday Sunday 11:30-22:00,7.8,7.7,8
Guangyue Xuan Restaurant,29,52, Cantonese refreshments, Impression Huangpu, https://www.dianping.com/shop/G6Js2u5yFZ6qxffT, Monday to Sunday 07:00-14: 0017:00-21:30,7.1,7.2,7.1
Changsha Shrimp King,13,143, Crayfish, Baiyun International Airport, https://www.dianping.com/shop/G6k3QK3yOYFr4tDQ, Monday to Sunday 16:00-03:00,7.3,7.2,7.2
Capone Kitchen (Tianhe Lingzhan Store),5968,82, Western food, Xingsheng Road/Horse Racecourse, https://www.dianping.com/shop/G6kAZWQy6tImCA08, Monday to Sunday 11:00-21:00,8.9,9,8.8
Wenfeng Ice Room,138,43, Tea Restaurant, Xinronghong Plaza, https://www.dianping.com/shop/G6kBhjCRK9oMLLig, Monday to Sunday 10:00-22 :00,7.2,7.3,7.2
Gusu Garden Yangcheng Lake Hairy Crab (Guangzhou store),79,92, hairy crab, along Binjiang Road, https://www.dianping.com/shop/G6kCmrAxvvYaH7kv, autumn and winter Monday to Sunday 09:00-23:00,7.5,7.4,7.4
Shiguang Forest AIDOCAKE CakeBirthday Party (Yuancun Store),334,90, Bread Baking, Tianhe Park/Shangshe, https://www.dianping.com/shop/G6KEJ4QDWPCxpgUD, Monday to Sunday 09:00-21:00,8,7.8,8
TAGLOUNGEFusion Western Food (Huachenghui Store),181,73, Western Food, Zhujiang New Town, https://www.dianping.com/shop/G6KlglfTBd7RzgX9, Monday to Sunday 11:30 -24:00,9,9.1,9.1
Jiumaojiu Northwest Cuisine (Yanhui Plaza Store),4389,56, Northwest folk cuisine, along Jiangnan Avenue, https://www.dianping.com/shop/G6kMh2UBteQti1mI, Monday to Sunday 11:00-14:30 17:00-21:00,8.8,8.9,8.8
Jiayuyuan Food Ecological Park,361,76, Farm Cuisine, Dongyong Town, https://www.dianping.com/shop/G6kmHr0MZmV09ufI, Monday to Sunday 10:00- 14:0016:00-21:00,7.4,7.5,7.3
Big BrotherHandmade NoodlesNorthwestern Cuisine (Dashi Wanminhui Store),1382,46, Northwest folk cuisine, Dashi, https://www.dianping.com/shop/G6KPezVjG5nzAHcH, Monday to Sunday 11:00-21:30,9.1,9.1,9.1
Xiangshan Snail Noodles Guilin Rice Noodles (Jinhua Street Store),46,14, Porridge Noodles, Zhongshan Qiba Road, https://www.dianping.com/shop/G6KufK7Y6fYFBh86, Monday to Sunday 07:30-23:30,7.2,7,7.1
Mr. SteakThick-cut Snowflake Steak Western Restaurant (Baiyun Jianggao Branch),731,68, Western food, Jianggao Town, https://www.dianping.com/shop/G6kxhPeJmivaVk0L, Monday to Sunday 11:00-22:00,9,9,9
Fragrant iron pot stew,89,76, Northeastern cuisine, Huadu Square/District Government, https://www.dianping.com/shop/G6L1mM1WFpYSOpdG, Monday to Sunday 10: 00-01:00,7.1,7.1,7
Xunwei XiangcunHunan Local Cuisine (Phoenix Store),415,58, Hunan Cuisine, Baiyun International Airport, https://www.dianping.com/shop/G6l6H0AV0Km39OJe, Monday to Sunday 11:30-14:0017:00-21:00,9.1,9.1,9.2
Happy Strong Seafood BBQ,858,150, BBQ skewers, along Jiangnan Avenue, https://www.dianping.com/shop/G6lA82nR6BFFiMzu, Monday to Sunday 17:30-02:00,8.7,7.5,7.9
Fresh Taro Fairy (Yaoyicheng Plaza Store),535,24, Dessert, Yanling/Wushan, https://www.dianping.com/shop/G6lbRonry6huaeJp, Monday to Sunday 10:30-21:30,7.9,8.1,7.9
Wei Sheng Farm,29,51, Farm Cuisine, Jiahe/Hehe, https://www.dianping.com/shop/G6Lc43j5pwihgOAx, Monday to Sunday 11:00-21:00,7.3,7.1,7.2
Cheng Pangwa Chongqing Noodles (Xinshi Branch),61,15, porridge noodles, Xinshi, https://www.dianping.com/shop/G6Ldz7QdVv4viV9a, Monday to Sunday 07:00-03:00,7.9,7.9,7.9
Cheng Pangwa Chongqing Noodles (Xinshi Branch),61,16, porridge noodles, Xinshi, https://www.dianping.com/shop/G6Ldz7QdVv4viV9a, Monday to Sunday 07:00-03:00,7.9,7.9,7.9
SevenclubDining and Bar (Zhongchuanhui flagship store),2911,83, Western food, along Industrial Avenue, https://www.dianping.com/shop/G6lLHF3W3kSpbzyF, Monday to Sunday 11:00-04:30,8.4,8.8,8.4
SevenclubDining and Bar (Zhongchuanhui Flagship Store),2913,83, Western food, along Industrial Avenue, https://www.dianping.com/shop/G6lLHF3W3kSpbzyF, Monday to Sunday 11:00-04:30,8.4,8.8,8.4
eggcellent souffl茅,1645,35, dessert, Tianhe City/Sports Center, https://www.dianping.com/shop/G6LPH2sjHCbgPTw8, Monday to Sunday 12:00-20 :30,8,8,8
Lishanghuang (Shixi Jinbi Garden Store),160,15, chestnuts/dried fruits, along Industrial Avenue, https://www.dianping.com/shop/G6lPNGZPzUD1iVrr, Monday to Sunday Sunday 10:00-22:00,7.5,7.6,7.4
Shenglao Seafood Buffet Parkway Restaurant (Conghua Xinrong Plaza Store),256,74, Seafood Buffet, Xinrong Hong Plaza, https://www.dianping.com/shop/G6lXoaqXAiMciGbg, Monday to Sunday 11:00-21:30,6.2,6.5,6.6
Jinbaobao Dipping Sauce Malatang,58,22, Malatang, Zhongshan Qiba Road, https://www.dianping.com/shop/G6M6xJyHKYQ7T9Xm, Monday to Sunday 11: 00-21:00,7.7,7.7,7.8
Fisherman's Banquet,78,83, Hairy Crab, Shilou, https://www.dianping.com/shop/G6mA65E1obKfTJ9g, Monday to Sunday 07:00-14:0017:00 -21:00,7.7,7.7,7.5
Full of Hunan flavor (Jiahe store),131,81, Hunan cuisine, Jiahe/Hehe, https://www.dianping.com/shop/G6mbzecYYi7wchRc, Monday to Sunday 11:00 -14:0017:00-21:30,8.2,8.2,8.2
Aqiangjia Pickled Fish (Tianhe North Store),3602,109, Sichuan Restaurant, Shipai/Longkou, https://www.dianping.com/shop/G6MgL8yOvm85alFL, Monday to Sunday Sunday 11:00-21:30,8.9,9,8.7
Jiesheng Fishing Port (Wuyang Xincheng Store),277,155, Seafood, Wuyang Xincheng, https://www.dianping.com/shop/G6mGPUQCxl9b2oBs, Monday to Sunday 10:00- 22:00,7.4,7,7.3
Rice MeLove,86,36, bread baking, along Industrial Avenue, https://www.dianping.com/shop/G6MjYXASuJmK7FbU, Monday to Sunday 11:00-21:00,7.4,7.5,7.4
Happy Xiangyu (Shiji Branch),279,47, Hunan cuisine, Shiqi, https://www.dianping.com/shop/G6mK9h9aaO8LB6vm, Monday to Sunday 10:00- 14:0017:00-22:00,9.2,9.1,9.2
Chongqing Huohong Malatang (Weichao Real Estate Building Store),46,24, Malatang, China Plaza, https://www.dianping.com/shop/G6Ml9J75mqZPf4jh, Monday to Sunday 11:00-03:00,7.4,7.3,7.3
Changji Qingyuan Chicken Restaurant (Wenchong Branch),64,46, Hunan Cuisine, Wenchong, https://www.dianping.com/shop/G6MmJZIweZujvFOA, Monday to Sunday 10 :00-23:30,7.5,7.7,7.3
Mido FenVietnamese Restaurant (Jiahe Jinbo Store),2148,93, Vietnamese food, Jiahe Wanggang, https://www.dianping.com/shop/G6MP79KtX5kRGwm7, Monday to Sunday 11:00-14:30 17:00-21:30,9,9,9
Maojiawan Xinghuo. Hunan Cuisine (Keyun Road Store),2980,79, Hunan Cuisine, Tianhe Park/Shangshe, https://www.dianping.com/shop/G6MPNUTEgB2A3SxN, Monday to Sunday 10:00-22:00,8.3,8.4,7.9
Yifan Xiangxu (Xintang RT-Mart Store),4555,62, Hunan Cuisine, Xinhaojing/RT-Mart, https://www.dianping.com/shop/G6mqaB0GWC2UbtWW, Monday to Sunday 10:30-21:00,8.7,8.7,8.6
Taowa (Tianhe Vanke Store),316,74, dry pot/incense pot, Xiaoxintang, https://www.dianping.com/shop/G6MQTYMRf9MJ5AjU, Monday to Friday 11:00-14:0017:00-21:00Saturday and Sunday 11:00-21:00,8.4,8.4,8.1
Maxim's mxcakes (Xiaobei Road store),211,86, bread baking, Dongfeng Middle Road/Yuexiu Park, https://www.dianping.com/shop/G6mubuZYQFMcdz5m, Monday to Sunday 07:30-22:00,7.7,7.6,7.6
Hua HuiWei all-day dining restaurant (Guangzhou Tianhe Dinglong Hilton Garden Inn),335,125, buffet, Tianhe North/Guangzhou East Railway Station, https://www.dianping.com/shop/G6MW99WcwB05F3aQ, Monday to Sunday 07:00-22:00,8,8.7,8.5
Steamed Morning Cooking (Greenland Times Yundu Store),16,19, more local dishes, Xinshi, https://www.dianping.com/shop/G6N5NPl7wjRCFsAD, Monday to Sunday 11:00-14:0017:00-21:00,7.3,7.1,7.3
Gazi Crayfish (Xinshi Branch),260,123, crayfish, along Airport Road, https://www.dianping.com/shop/G6na5JaFIzJQjMsn, Monday to Sunday 17:00- 04:00,7.3,6.8,7
Gazi Crayfish (Xinshi Branch),261,123, Crayfish, along Airport Road, https://www.dianping.com/shop/G6na5JaFIzJQjMsn, Monday to Sunday 17:00- 04:00,7.3,6.8,7
Durian three cupsDurian specialty drink (CapitaLand store),1079,21, beverage store, CapitaLand Plaza, https://www.dianping.com/shop/G6Ne9SeqcQLpQzbb, Monday to Sunday 10:00-22:00,8.2,8.2,8.3
Guangdong Hakka RestaurantOld Method Roasted ChickenBamboo Rice (Baishui VillageLin Lin Haidian),380,53, Hakka cuisine, Baishui Village/Paitan, https://www.dianping.com/shop/G6NeBdKDhBrWblC9, Monday to Sunday 11:00-14:3017:00-22:00,8.9,8.8,8.9
Northeastern cuisine dumplings (Yajule store),51,43, Northeastern cuisine, Chimelong/Nancun, https://www.dianping.com/shop/G6Nf1NNNppbwRbYe, Monday to Sunday 09: 30-22:00,7.2,7.1,7.2
Wooden House BBQ (Baiyun Yuanjing Road Store),193,85, skewers, along Airport Road, https://www.dianping.com/shop/G6ns77qd2rHvY3QE, all day from Monday to Sunday,8.8,9,8.8
Oyster DexiSteam Oyster Seafood Hot PotMarinated Sashimi (Taojin Shop),81,103, Seafood, Huanshi East Road/Ouzhuang, https://www.dianping.com/shop/G6nU0wpOCRljep70, Monday to Sunday 10:00-14:3017:00-22:00,8.9,8.5,8.9
KFC (Dongjiao Store),10111,32, Western-style fast food, Chebei/Dongpu, https://www.dianping.com/shop/G6oBX0FMU0SbKItK, Monday to Sunday 07: 00-23:00,7.9,8.1,8
Xiangge Shrimp Yitiao Lobster House (Shengshi Market Store),14,98, crayfish, Shiling, https://www.dianping.com/shop/G6odrHZq4ZWvd2GM, Monday to Sunday 18:00-02:00,7.4,7.3,7.4
SurpriseLoft (Da Nan Road store),542,47, coffee shop, Beijing Road Business District, https://www.dianping.com/shop/G6OH9C1Z1eFi6AzC, Monday to Sunday 12:00 -23:30,8.7,8.6,8.9
Baiguoyuan (Wuyangcun store),113,50, fruit shop, Wuyang New City, https://www.dianping.com/shop/G6OHOW5ZGPRUk7bP, Monday to Sunday 08: 00-23:30,7.4,7.3,7.2
Yongying Tea Restaurant (Jiangnan Avenue Middle Store),5062,45, tea restaurant, along Jiangnan Avenue, https://www.dianping.com/shop/G6OixREipW4e1xHL, Monday to Sunday 08:00-23:00,7.2,7.2,7.1
Jubao Pigeon Emperor (Beijing Road Store),839,61, Cantonese Restaurant, Beijing Road Commercial District, https://www.dianping.com/shop/G6oJb80iA5IXOj7f, Monday to Sunday 11:00-21:00,7.4,6.7,6.9
Youde CourtyardLakeview Art Restaurant,631,112, Western food, Dongfeng Middle Road/Yuexiu Park, https://www.dianping.com/shop/G6oL7hlp0mfxcMvB, Monday to Sunday 11: 00-22:00,8.4,8.9,8.7
Cupping Suction Bottle (Ouzhuang Store),168,44, Cafe, Huanshi East Road/Ouzhuang, https://www.dianping.com/shop/G6ol9iQWmyiJU4hd, Monday to Friday 08:00-19:00 Saturday and Sunday 09:00-19:00,8.8,8.8,8.7
Shunda Garden Farm,34,81, Farm Cuisine, Shiling, https://www.dianping.com/shop/G6OnUS4VKghs4Kzn, Monday to Sunday 09:00-21:30,7.3,7.2,7.1
ChaimanwuShiba Inu Theme Coffee House,1821,66, Cafe, Beijing Road Commercial District, https://www.dianping.com/shop/G6opaGbcxlS60Q3x, Monday to Sunday 12 :00-21:30,8.3,8.6,8.8
Grandma's BBQ Grilled Eel,4363,109, Korean BBQ, along Airport Road, https://www.dianping.com/shop/G6oPErAhlaDDYv0m, Monday to Sunday 10:30-23 :00,8.1,7.6,8.1
Century-old flavored screw noodles,11,17, porridge noodles, Tanwei/Hesha, https://www.dianping.com/shop/G6Ou8fJM81WaCh0A, Monday to Sunday 07:30 -21:00,7.2,7.1,7.1
ISCAKE has a creative cake design,260,123, bread baking, along Jiangnan Avenue, https://www.dianping.com/shop/G6oUaGNuu2uouypc, Monday to Sunday 09:00- 18:30,7.9,7.8,7.9
Xiao Pond Hunan Hexian (Jingu Valley Store),342,84, Hunan Cuisine, Zhongcun, https://www.dianping.com/shop/G6OyrMn6I2vX4ig7, Monday to Sunday 11: 00-14:0017:00-21:00,9,9.1,9.1
Next door  ICE,69,18, tea and juice, Kecun/Chigang, https://www.dianping.com/shop/G6p701MgA5qURZTZ, Monday to Sunday 14:00- 01:00,8,8.5,8.4
September Xiangxiang Restaurant (Haizhu Branch),90,66, Farm Cuisine, Haizhu District, https://www.dianping.com/shop/G6pHc0djCcpukzfO, Monday to Sunday 09: 30-21:30,7.4,7.5,7.5
Jinchao Chaoshan Beef Hot Pot,70,86, Chaoshan Beef Hot Pot, Fangcun, https://www.dianping.com/shop/G6phsoZYULPtr2QT, Monday to Sunday 11:00-14: 0017:00-22:00,8.5,8.5,8.2
Mingxing Authentic Chaozhou Colorful Fish Egg Noodles (Zhongshan Sixth Road Store),1026,18, Porridge Noodles, Zhongshan Sixth Road, https://www.dianping.com/shop/G6pJPHtygbI3dmOY, Monday to Sunday 06:30-23:30,7.4,6.4,6.6
Guangjiu StationHong Kong-style Tea Restaurant (New World Store),137,40, Tea Restaurant, Jiahe Wanggang, https://www.dianping.com/shop/G6PSoUkidHvisHmS, Monday to Sunday 10:00-22:00,7.4,7.4,7.4
Head-to-head beef (Guangzhou store),120,41, Sichuan Restaurant, Jiahe Wanggang, https://www.dianping.com/shop/G6Pww2GhMP3A5hvH, Monday to Sunday 11 :00-23:00,7.4,7.4,7.5
Meihehe Tang Shui Shop (Shishu Road Store),791,14, Dessert, Zhongshan 6th Road, https://www.dianping.com/shop/G6pycG57SOAVSOc1, Monday to Sunday 11 :30-23:30,7.9,7.6,7.7
Cantonese Shopping Point (Yuexiu City Plaza Store),619,62, Cantonese Restaurant, Dongfeng Middle Road/Yuexiu Park, https://www.dianping.com/shop/G6q9OTR88cqcgpYS, Monday to Sunday 07:30-21:00,7.6,7.6,7.4
Yiyi Barbecue Hot Pot (Dayuan Branch),371,49, buffet, Taihe Town, https://www.dianping.com/shop/G6qcefRD3vExbpow, Saturday and Sunday 16: 30-04:00 Monday to Friday 17:00-02:00,7.3,7.3,7.6
Han ShunyingKorean Food Market (Tianhe Lingzhan Store),485,53, Korean cuisine, Xingsheng Road/Horse Racecourse, https://www.dianping.com/shop/G6QiD4J4vDFsLCWN, Monday to Sunday 10:30-22:00,8.3,8.3,8.3
PermaBakery Pumen  Main Store (Taojin Store),4264,47, Bread Baking, Xiaobei/Taojin, https://www.dianping.com/shop/G6qL7OQ8zlNJxXcs, Monday to Sunday 08:00-21:00,8,8.1,8.1
GODIVA (Tianhuan store),2089,54, ice cream, Teem City/Sports Center, https://www.dianping.com/shop/G6qlwi2lycEiGmIj, Monday to Sunday 10:00 -22:00,9,8.7,8.7
Fugu Umami Research Institute (Longjin Branch),621,93, Creative Cuisine, Zhongshan Qiba Road, https://www.dianping.com/shop/G6QnNokniVvElWzo, Monday to Sunday Day 11:30-14:0017:30-22:30,7.8,7.8,8.6
Liuzhou Snail Noodles (Vanke Xingfuyu Store),24,15, Porridge Noodles, Wangcun/He Tangxia, https://www.dianping.com/shop/G6qPRW0SG04udGaL, Monday to Sunday 07:00-01:00,7.1,7.1,7.1
Su XiangliWuxi Soup Dumplings (Banghua Global Plaza Store),172,35, Subang Cuisine, Zhujiang New Town, https://www.dianping.com/shop/G6QPXuqKBxRVIPPF, Monday to Sunday 07:30-21:00,7.3,7.8,7.7
Naixue's Tea (CITIC Plaza PRO Store),257,19, tea juice, Tianhe North/Guangzhou East Railway Station, https://www.dianping.com/shop/G6qWPDbFHwBJq0nJ, Monday to Sunday 08:00-21:00,8.4,8.4,8.4
Le Tao Yipin,728,48, Tea Restaurant, Tianhe Park/Shangshe, https://www.dianping.com/shop/G6qZpCfaIakItsvv, Monday to Sunday 07:00-21 :00,7.4,7.3,7.1
Chaoyue Boutique Cuisine (Tianbao Business Center Store),76,97, other Chinese food, Longdong/Cencun, https://www.dianping.com/shop/G6r5T8T8B8aauNGe, Monday to Sunday 09:00-14:0016:30-21:00,7.6,7.5,7.5
Macau Street (Guangbai Xinyicheng Store),1847,65, Cantonese Restaurant, Jiangnanxi, https://www.dianping.com/shop/G6RAIy7SqJjyHue9, Monday to Sunday 11 :00-14:3017:00-21:30,7.5,7.5,7.2
Rong Yifa Niu Zaodian (Zhongshan No. 8),394,35, Niu Zai, Zhongshan Qiba Road, https://www.dianping.com/shop/G6RcNL0tb68kUCrz, Monday to Sunday 10:00-19:00,7.6,7.3,7.5
Guangzhou Ritz-Carlton HotelFOODS International Food Stage Buffet (Zhu...,3715,307, buffet, Huachenghui/Amap Land, https://www.dianping.com/shop/G6rDAlVGr6INC8Xj, Monday to Sunday 06:30-10:30 12:00-14:30 18:00-22:00,7.6,8.4,8.8
Naixue's Tea (Zhuanhui Plaza Store),760,19, tea juice, Shiqiao, https://www.dianping.com/shop/G6rMzCdMrcbpExb4, Monday to Sunday 08:00-22:00,8.6,8.7,8.7
Guangdong Chenji Claypot Porridge (Yongtai store),775,83, seafood hot pot, Yongtai, https://www.dianping.com/shop/G6rro6PEMV8P4RJT, Monday to Sunday 11 :00-24:00,8.8,8.5,8.7
Grain King (Guangzhou Anhuahui Store),40,25, chestnuts/dried fruits, Yongtai, https://www.dianping.com/shop/G6SIpvIORWp5ichN, Monday to Sunday 10: 00-22:00,6.8,6.8,6.5
Le Caesar Pizza (Zhengjia Plaza Store),4228,63, Western food, Teem City/Sports Center, https://www.dianping.com/shop/G6SmZSAGLB1EGh28, Monday to Sunday 10 :00-22:00,8.5,8.1,8.2
Chongqing FoodYangji Boneless Fish (Zhengjia Department Store),446,29, Sichuan Restaurant, Teem City/Sports Center, https://www.dianping.com/shop/G6sr0HIQrka5EObd, Monday to Sunday 10:30-22:00,7.5,7.3,7.5
Luoxi FarmSangtai Local ChickenSlimming Fish,70,73, farm food, Midu Town, https://www.dianping.com/shop/G6Sse17F9xYPrjgJ, Monday to Sunday 10:00-21:00,7.7,7.6,7.7
Luotai Er Snail Noodles (Changgang Branch),228,18, porridge noodles, along Jiangnan Avenue, https://www.dianping.com/shop/G6swH4dTqwSSd09m, all Monday to Sunday sky,7.5,7.4,7.4
Luotai Er Snail Noodles (Changgang Branch),228,18, porridge noodles, along Jiangnan Avenue, https://www.dianping.com/shop/G6swH4dTqwSSd09m, all Monday to Sunday sky,7.5,7.4,7.4
GalitataiThai Food,3521,86, Thai food, Beijing Road Commercial District, https://www.dianping.com/shop/G6t5syl6HTCnNUk2, Monday to Friday 11: 30-14:0017:00-21:30Saturday and Sunday11:30-15:3017:00-21:30,8.7,8.8,8.7
Lu Xiaofeng Sichuan Cuisine (Anhuahui Branch),1025,84, pickled fish/boiled fish, along Baiyun Avenue, https://www.dianping.com/shop/G6t8g1NwPNag3ve6, Monday to Sunday 11:00-22:00,7.8,8.1,7.8
Jamo Pizza (famous store),4872,34, pizza, Huachenghui/Amap Land, https://www.dianping.com/shop/G6TA5hbUJkCsRFRb, Friday and Saturday 09 :00-23:00 Monday to Thursday Sunday 09:00-22:00,8.4,7.5,8.2
TanyuFresh green pepper and spicy grilled fish (Qingda Plaza store),746,76, Grilled fish, Zhongluotan, https://www.dianping.com/shop/G6TMHTnaBflSuQdU, Monday to Sunday 11:00-21:30,9,8.8,8.6
Jianghai Restaurant (Chigang Branch),428,58, Cantonese Restaurant, Kecun/Chigang, https://www.dianping.com/shop/G6tOFn4KLftbh6ud, Monday to Sunday 07 :00-14:0017:00-21:00,7.3,7.1,7.1
Meet Xiaomian (Tianhe Vanke Store),787,26, porridge noodles, Xiaoxintang, https://www.dianping.com/shop/G6TWHZ8qHyzcuRVJ, Monday to Sunday 10 :00-22:00,8.5,8.4,8.4
Meet Xiaomian (Tianhe Vanke Store),789,26, porridge noodles, Xiaoxintang, https://www.dianping.com/shop/G6TWHZ8qHyzcuRVJ, Monday to Sunday 10 :00-22:00,8.5,8.4,8.4
Haishanji Chaoshan Beef Hotpot (Qingda Plaza Store),510,79, Chaoshan Beef Hotpot, Zhongluotan, https://www.dianping.com/shop/G6uBFPYb5juvME5j, Monday to Sunday 11:00-21:00,8.8,8.9,8.9
Lao Ma Qiao Que Yuan (Huangpu Greenland Store),57,231, Hunan Cuisine, Science City/Luogang Gaodehui, https://www.dianping.com/shop/G6UEsmYWMztjuHJa, Monday to Sunday 11:00-14:0017:00-21:00,8.4,8.4,8.5
Xiangjian Restaurant (gogo Xintiandi store),724,59, Hunan cuisine, University Town, https://www.dianping.com/shop/G6UL4blCfN12XmUN, Monday to Sunday 11:00 -21:00,8.8,8.8,8.8
